Name,MFLOPS_observed,MFLOPS_tuned,Time,Row,Col,BlockRow,BlockCol
12month1.rb,1050.25,1341.72,1.62977,12471,872622,0,0
mario001.rb,1870.15,1602.72,0.00988827,38434,38434,1,1
stormg2-125.rb,1569.94,1359.71,0.0307512,66185,172431,1,1
in-2004.rb,1236.28,1368.98,1.14607,1382908,1382908,3,1
adder_dcop_44.rb,1484.56,1273.01,0.00214249,1813,1813,0,0
barrier2-10.rb,1430.31,1460.9,0.213831,115625,115625,1,1
pkustk08.rb,2836.51,5322.19,0.0698436,22209,22209,3,3
sctap1-2c_A_3.rb,2111.34,1811.59,0.00241271,3390,7458,1,1
bcsstm08.rb,869.441,756.697,0.00140454,1074,1074,0,0
usroads-48.rb,1002.41,951.733,0.0293199,126146,126146,0,0
TSOPF_RS_b162_c1.rb,1900.92,3157.27,0.0106909,5374,5374,8,2
hydr1c_Zeros_27.rb,83.1868,106.506,0.00183365,5308,5308,0,0
CSphd.rb,711.417,758.845,0.0015901,1882,1882,0,0
HEP-th-new.rb,1404.56,1333.98,0.0230349,27770,27770,1,1
rajat30.rb,1138.28,1160.7,0.384275,643994,643994,1,1
relat6.rb,1829.14,1953.02,0.00276775,2340,157,0,0
grid1_dual.rb,2085.75,1616.55,0.00126815,224,224,0,0
adder_dcop_68.rb,1422.53,1334.53,0.00179466,1813,1813,1,1
lund_a.rb,3675.13,2231.15,0.0018798,147,147,5,1
adder_dcop_26.rb,1432.99,1336.95,0.00184099,1813,1813,1,1
stokes128.rb,3956.86,3538.07,0.0171274,49666,49666,2,1
psmigr_1.rb,1578.92,2027.63,0.0370121,3140,3140,0,0
hydr1c_A_13.rb,1842.77,1592.89,0.00304489,5308,5308,0,0
adder_dcop_25.rb,1444.62,1241.63,0.00217688,1813,1813,0,0
mac_econ_fwd500.rb,1300.19,1172.68,0.0819988,206500,206500,1,1
IG5-8.rb,1848.28,1333.16,0.00125843,156,292,1,1
Erdos992.rb,1000.57,1966.92,0.00247332,6100,6100,0,0
big_dual.rb,1862.32,1369.17,0.00604968,30269,30269,1,1
bcsstk19.rb,3511.49,2863.87,0.00198074,817,817,0,0
G53.rb,4198.7,3191.12,0.00162405,1000,1000,0,0
stormg2-27.rb,1979.64,1745.21,0.00737535,14441,37485,1,1
Reuters911_Day_57.rb,263.616,341.665,0.00295781,13332,13332,0,0
scsd8-2b_A_3.rb,2165.38,2719.07,0.00728705,5130,35910,2,1
hydr1c_Zeros_71.rb,82.25,108.468,0.00237555,5308,5308,0,0
GL7d11.rb,1123.0,1419.14,0.00199859,1019,60,0,0
poli4.rb,949.231,923.153,0.00949511,33833,33833,0,0
t2d_q9_A_44.rb,2313.47,2523.71,0.00530659,9801,9801,3,1
hydr1c_Zeros_08.rb,148.945,208.304,0.00187381,5308,5308,0,0
g7jac200.rb,1592.25,1544.96,0.059239,59310,59310,0,0
f855_mat9.rb,1845.98,2240.05,0.0189221,2456,2511,0,0
stufe.rb,2428.83,2184.38,0.0014379,1036,1036,0,0
G22.rb,3321.23,3046.33,0.00228066,2000,2000,1,1
TSOPF_FS_b300_c3_b.rb,967.945,1895.34,0.00899629,84414,1,0,0
