Phase	Benchmark	Mode	Feature	Value
Dense	denormal.mtx	coo	MFLOPS_median	914.332
Dense	denormal.mtx	coo	Time	21.8708
Dense	denormal.mtx	coo	Fletcher_sum	0

Sparse	dixmaanl.mtx	csr	Outer	20
Sparse	dixmaanl.mtx	csr	Inner	500
Sparse	dixmaanl.mtx	csr	N	60000
Sparse	dixmaanl.mtx	csr	NNZ	299998
Sparse	dixmaanl.mtx	csr	SD	14.441556
Sparse	dixmaanl.mtx	csr	MFLOPS_s	2667.36
Sparse	dixmaanl.mtx	csr	MFLOPS_median	2664.06
Sparse	dixmaanl.mtx	csr	Time	2.2494
Sparse	dixmaanl.mtx	csr	Fletcher_sum	55804

Sparse	dixmaanl.mtx	dia	Outer	20
Sparse	dixmaanl.mtx	dia	Inner	500
Sparse	dixmaanl.mtx	dia	N	60000
Sparse	dixmaanl.mtx	dia	NNZ	299998
Sparse	dixmaanl.mtx	dia	SD	102.452744
Sparse	dixmaanl.mtx	dia	MFLOPS_s	11779.3
Sparse	dixmaanl.mtx	dia	MFLOPS_median	11832.2
Sparse	dixmaanl.mtx	dia	Time	0.509365
Sparse	dixmaanl.mtx	dia	Fletcher_sum	55804

Sparse	dixmaanl.mtx	ell	Outer	20
Sparse	dixmaanl.mtx	ell	Inner	500
Sparse	dixmaanl.mtx	ell	N	60000
Sparse	dixmaanl.mtx	ell	NNZ	299998
Sparse	dixmaanl.mtx	ell	SD	9.154353
Sparse	dixmaanl.mtx	ell	MFLOPS_s	3063.39
Sparse	dixmaanl.mtx	ell	MFLOPS_median	3057.7
Sparse	dixmaanl.mtx	ell	Time	1.9586
Sparse	dixmaanl.mtx	ell	Fletcher_sum	55804

Sparse	dixmaanl.mtx	coo	Outer	20
Sparse	dixmaanl.mtx	coo	Inner	500
Sparse	dixmaanl.mtx	coo	N	60000
Sparse	dixmaanl.mtx	coo	NNZ	299998
Sparse	dixmaanl.mtx	coo	SD	3.5763
Sparse	dixmaanl.mtx	coo	MFLOPS_s	1589.16
Sparse	dixmaanl.mtx	coo	MFLOPS_median	1585.16
Sparse	dixmaanl.mtx	coo	Time	3.77556
Sparse	dixmaanl.mtx	coo	Fletcher_sum	55804

Dense	dixmaanl.mtx	csr	Outer	20
Dense	dixmaanl.mtx	csr	Inner	500
Dense	dixmaanl.mtx	csr	N	1000
Dense	dixmaanl.mtx	csr	NNZ	1000000
Dense	dixmaanl.mtx	csr	SD	8.894632
Dense	dixmaanl.mtx	csr	MFLOPS_s	1979.14
Dense	dixmaanl.mtx	csr	MFLOPS_median	1972.58
Dense	dixmaanl.mtx	csr	Time	10.1054
Dense	dixmaanl.mtx	csr	Fletcher_sum	0

Dense	dixmaanl.mtx	dia	Outer	20
Dense	dixmaanl.mtx	dia	Inner	500
Dense	dixmaanl.mtx	dia	N	1000
Dense	dixmaanl.mtx	dia	NNZ	1000000
Dense	dixmaanl.mtx	dia	SD	152.639787
Dense	dixmaanl.mtx	dia	MFLOPS_s	4914.37
Dense	dixmaanl.mtx	dia	MFLOPS_median	4785.67
Dense	dixmaanl.mtx	dia	Time	4.0697
