Phase	Benchmark	Mode	Feature	Value
Dense	denormal.mtx	coo	MFLOPS_s	906.685
Dense	denormal.mtx	coo	MFLOPS_median	910.789
Dense	denormal.mtx	coo	Time	3.30876
Dense	denormal.mtx	coo	Fletcher_sum	0

Sparse	dixmaanl.mtx	csr	Outer	3
Sparse	dixmaanl.mtx	csr	Inner	500
Sparse	dixmaanl.mtx	csr	N	60000
Sparse	dixmaanl.mtx	csr	NNZ	299998
Sparse	dixmaanl.mtx	csr	SD	8.733494
Sparse	dixmaanl.mtx	csr	MFLOPS_s	2639.47
Sparse	dixmaanl.mtx	csr	MFLOPS_median	2634.39
Sparse	dixmaanl.mtx	csr	Time	0.340975
Sparse	dixmaanl.mtx	csr	Fletcher_sum	55804

Sparse	dixmaanl.mtx	coo	Outer	3
Sparse	dixmaanl.mtx	coo	Inner	500
Sparse	dixmaanl.mtx	coo	N	60000
Sparse	dixmaanl.mtx	coo	NNZ	299998
Sparse	dixmaanl.mtx	coo	SD	14.7906
Sparse	dixmaanl.mtx	coo	MFLOPS_s	1572.65
Sparse	dixmaanl.mtx	coo	MFLOPS_median	1580.86
Sparse	dixmaanl.mtx	coo	Time	0.572277
Sparse	dixmaanl.mtx	coo	Fletcher_sum	55804

Sparse	dixmaanl.mtx	dia	Outer	3
Sparse	dixmaanl.mtx	dia	Inner	500
Sparse	dixmaanl.mtx	dia	N	60000
Sparse	dixmaanl.mtx	dia	NNZ	299998
Sparse	dixmaanl.mtx	dia	SD	49.195812
Sparse	dixmaanl.mtx	dia	MFLOPS_s	11250.5
Sparse	dixmaanl.mtx	dia	MFLOPS_median	11218.3
Sparse	dixmaanl.mtx	dia	Time	0.079996
Sparse	dixmaanl.mtx	dia	Fletcher_sum	55804

Sparse	dixmaanl.mtx	ell	Outer	3
Sparse	dixmaanl.mtx	ell	Inner	500
Sparse	dixmaanl.mtx	ell	N	60000
Sparse	dixmaanl.mtx	ell	NNZ	299998
Sparse	dixmaanl.mtx	ell	SD	12.463166
Sparse	dixmaanl.mtx	ell	MFLOPS_s	2980.71
Sparse	dixmaanl.mtx	ell	MFLOPS_median	2976.57
Sparse	dixmaanl.mtx	ell	Time	0.301939
Sparse	dixmaanl.mtx	ell	Fletcher_sum	55804

Dense	dixmaanl.mtx	csr	Outer	3
Dense	dixmaanl.mtx	csr	Inner	500
Dense	dixmaanl.mtx	csr	N	1000
Dense	dixmaanl.mtx	csr	NNZ	1000000
Dense	dixmaanl.mtx	csr	SD	19.199412
Dense	dixmaanl.mtx	csr	MFLOPS_s	1874.46
Dense	dixmaanl.mtx	csr	MFLOPS_median	1862.24
Dense	dixmaanl.mtx	csr	Time	1.60046
Dense	dixmaanl.mtx	csr	Fletcher_sum	0

Dense	dixmaanl.mtx	dia	Outer	3
Dense	dixmaanl.mtx	dia	Inner	500
Dense	dixmaanl.mtx	dia	N	1000
Dense	dixmaanl.mtx	dia	NNZ	1000000
Dense	dixmaanl.mtx	dia	SD	144.755565
Dense	dixmaanl.mtx	dia	MFLOPS_s	4407.62
Dense	dixmaanl.mtx	dia	MFLOPS_median	4456.39
Dense	dixmaanl.mtx	dia	Time	0.68064
Dense	dixmaanl.mtx	dia	Fletcher_sum	0

